h_signal_variance,h_signal_iqr,h_mean,h_std,h_max,h_min,h_skew,h_kurtosis,h_energy,h_median,h_entropy,h_mean_slope,h_std_slope,v_signal_variance,v_signal_iqr,v_mean,v_std,v_max,v_min,v_skew,v_kurtosis,v_energy,v_median,v_entropy,v_mean_slope,v_std_slope,h_fft_max_freq,h_fft_mean_power,h_fft_peak_power,v_fft_max_freq,v_fft_mean_power,v_fft_peak_power,target
7843.606642918112,162.5532,-94.53367881294965,88.56413858282659,220.83,-177.01,1.4677037317502015,2.164593604849645,20992059.064107873,-113.64,6.837523411041033,0.0004178479999999809,4.293803631300248,2230.8350121079066,93.0437,-42.17228984732214,47.2317161672949,45.551,-121.73,-0.5062569666420067,-1.1519529132455995,5015680.640886146,-22.367,6.631991740994037,0.0053625600000000075,3.309257560644024,0.0,20992059.06410787,13985813649.425457,0.0,5015680.640886145,2783357456.964682,1
9606.105877513523,177.2192,-118.5621218481215,98.01074368411619,216.07,-197.69,1.4331641813232074,1.3316727260625436,29602516.35091756,-173.13,6.852650776292718,-0.0010695999999999913,6.0572831031276815,1193.5517364562493,56.4863,31.51164533988809,34.547818114263734,109.02,-7.7832,0.7537785954108033,-0.7413462999211764,2735355.9461324085,18.585,6.584182457905035,0.0025441599999999993,3.0829051653704806,0.0,29602516.350917563,21999182650.58333,0.0,2735355.946132409,1554020627.505876,1
11795.214828796048,201.9883,-130.0798600999201,108.60577714282076,211.68,-234.57,1.235883009323072,0.6535451716063161,35923697.02534594,-184.26,6.851658942044178,0.008991999999999984,7.265215590425514,146.59144401753173,7.680400000000001,-4.746517217346123,12.107495365166642,20.289,-39.249,-1.4655883139815378,1.726889795678031,211570.20800983076,-1.0822,6.430043118505667,-0.0045676,1.1225663201741074,0.0,35923697.025345944,26481021976.42714,1.0,211570.20800983073,46690497.1071985,1
16408.743677454822,231.2629,-132.3858125676259,128.09661852466996,232.25,-298.11,0.9377480640507239,0.19520081691644986,42452368.55535339,-171.1,6.830690655605457,-0.007197519999999986,8.89775402341668,3934.7563169427413,120.60159999999999,-70.11701040631495,62.72763599038897,8.5287,-181.8,-0.32553217156963593,-1.3398848401263377,11072790.483042786,-63.155,6.679923923303359,0.001530007999999998,4.9881987546323865,0.0,42452368.55535339,27428212798.78661,0.0,11072790.483042788,7694163323.514822,1
24534.13638187629,321.6792,-177.24185227258195,156.63376513982,230.91,-367.71,0.6249835144210355,-0.5805125215937332,69991962.03419395,-214.47,6.820532403063504,-0.01029440000000002,10.830894140791308,654.0914426546658,46.95545,31.539142286730616,25.57521148797534,88.158,-5.444,0.24333473012762408,-1.207150215787376,2062659.9824854685,29.27,6.772243001970472,0.005155199999999991,0.7153103230696581,0.0,69991962.03419396,49163996533.00385,0.0,2062659.9824854685,1556733876.2433262,1
10500.75591480905,178.8115,-112.67212662509992,102.47319607979956,218.47,-214.53,1.3384705578391987,1.1759175068605456,29017900.805322528,-164.18,6.838038977268142,0.00450128000000002,6.744553741956685,2131.256726100556,90.873,52.485836513189454,46.16553612924425,111.95,-29.207,-0.10812387305774616,-1.617863386799684,6112410.7204978485,58.682,6.8166037801584345,0.024165600000000013,2.9524528639935985,0.0,29017900.80532253,19867700400.026413,0.0,6112410.720497847,4311206903.73871,1
10670.32896914879,177.155,-114.58182533197441,103.29728442291592,212.72,-211.8,1.3237076809007746,1.0087087669851362,29772953.905610412,-172.32,6.840423058100733,0.005825519999999983,6.635351522304563,35421.643415023165,380.999,-213.59257489688252,188.20638516007676,14.257,-549.38,-0.3401659730425799,-1.4181243071330796,101385332.7640955,-167.51,6.698403623047627,0.0147952,15.586817486382994,0.0,29772953.905610405,20546889828.871796,0.0,101385332.76409549,71398143921.72882,1
22188.305989482473,283.97990000000004,-169.05178841247002,148.9573965584874,206.12,-357.38,0.7347807423094156,-0.44112055961725094,63509283.25682621,-209.22,6.821896647134617,0.0033060799999999973,10.521971485304027,89239.54989257503,552.2534999999999,-360.7502851159073,298.72989454116413,21.324,-923.79,-0.2984540909464417,-1.2552206380726176,274444777.94783306,-330.69,6.747226830251009,0.031136799999999992,26.1775649877529,0.0,63509283.25682618,44725392292.44351,0.0,274444777.947833,203670432391.30933,1
16048.785435148573,241.38865,-142.48469457553958,126.68380099739892,202.33,-269.6,0.8299181224566516,-0.4975967240493633,45474692.70291515,-206.44,6.789755635840576,-0.0020939999999999826,8.036236447352652,716.7051740429906,52.716,-22.862580563549162,26.771349873381258,27.717,-71.22,-0.6677487084351834,-1.1348225604354654,1550492.8578487758,-11.389,6.570271126586702,0.008023280000000004,1.9344101464404462,0.0,45474692.70291513,31772475316.553886,0.0,1550492.8578487753,818022251.0863642,1
10370.77234019924,168.24185,-99.86226480583534,101.83698905701819,219.56,-187.99,1.4300832642325145,1.4944381360072905,25449398.584709875,-151.6,6.839282158095335,-0.0019456799999999703,6.051554308193114,638.5844380583076,43.64755,18.080889450519585,25.270228294542722,68.973,-18.292,0.6311257692939523,-1.01377406723556,1207844.2547266528,9.1832,6.627651235744478,0.0018871199999999989,1.8901374571835092,0.0,25449398.58470987,15606928546.2879,0.0,1207844.2547266525,511627878.517353,1
2689.397145870858,93.03800000000001,48.08089537090328,51.85939785488121,129.95,-99.421,-0.3488294656430701,-0.6157478090264941,6256463.226568797,55.152,6.780233661861809,0.010243199999999996,3.6831033082498803,5163.029537025952,120.0974,-73.32478868033573,71.85422421142651,149.05,-144.96,1.2482327699841855,0.7024892043169908,13184982.26922435,-112.2,6.842769229280133,-0.006629599999999948,4.675013928195777,0.0,6256463.226568796,3617926273.7525253,0.0,13184982.269224348,8414266430.324505,2
178.59524916020072,16.583199999999998,-15.410211518784973,13.363953350719267,3.5502,-55.209,-0.9829494403995643,1.025543140220119,520503.40513558115,-15.004,6.815506807456238,0.005675840000000002,0.9181933882557717,1818.8432053409824,45.1977,-12.55371704876099,42.647898017850565,148.99,-80.773,1.4819876245667154,3.5745063412068188,2472525.2103687497,-9.9158,6.628358242482793,0.0035956800000000212,2.4859699699645748,0.0,520503.40513558115,371648016.2936487,1.0,2472525.210368749,429804469.5443613,2
821.2527146853466,27.587285,11.15485328944844,28.65750712615015,60.048,-97.952,-1.6171086598382598,3.6917675908595333,1183050.016709676,14.726,6.692828453719179,0.003953120000000004,1.9311287905409453,3043.9723852907937,56.57853000000001,-24.34344290767386,55.17220663786064,212.6,-85.084,2.377931950031497,6.3460246626013515,4549356.072960353,-35.596,6.723481373802737,0.0008836720000000014,2.9993252008829887,1.0,1183050.016709676,328445778.9016677,0.0,4549356.072960354,927424620.3209244,2
708.9099431704466,24.0834,4.8688027106314955,26.62536278007206,32.054,-127.71,-2.638586460518726,8.678528057916699,916501.5939398794,3.7942,6.60444179997141,0.0015673295999999936,1.3519821455016192,4115.910138875097,102.334985,-59.91373243373302,64.15535939323462,168.74,-112.34,1.683997776327793,2.707266875174126,9639662.406743076,-93.753,6.829796826773455,0.004572640000000024,3.8119404221207134,1.0,916501.5939398796,285271470.65891075,0.0,9639662.406743076,5617814187.585922,2
521.1745024358233,25.39,-11.329655430055956,22.829246646261094,12.655,-137.18,-2.6334423490669088,9.534750176516443,812569.0288441244,-3.7912,6.451534336189518,0.002397431999999994,1.6257981941741928,2865.8771588064005,66.29935,-32.12624919344525,53.53388794778874,191.68,-90.361,2.3176137721394783,6.576963053704164,4876364.2806032235,-40.797,6.779457130742646,0.002562880000000007,2.7876031372209282,0.0,812569.0288441242,200885237.5974335,0.0,4876364.280603223,1615231095.6254563,2
277.4565175432397,29.71289,-14.508882557314148,16.65702607139821,14.846,-41.557,-0.07171459020592715,-1.4714727759554507,610443.2024470733,-13.434,6.742042912564164,-0.0022629599999999996,1.2203447036125274,1519.6610635743286,34.8075,8.719217210231815,38.982830368949976,155.65,-49.516,1.7370021477130493,4.160761816424681,1996202.9512292477,2.7136,6.587090585737759,0.0025861599999999923,2.4417449144018923,0.0,610443.2024470732,329444718.849601,3.0,1996202.951229248,229409528.6081234,2
2995.3559771709038,65.23035,-59.311535137490004,54.72984539692126,2.8355,-307.87,-2.2540095086316763,7.630456449506626,8148030.9360983055,-62.761,6.738646609231134,0.003220240000000007,2.5051983967915774,3703.4331406275783,69.5781,29.636044989608315,60.85583900191976,274.91,-48.062,1.5625912374075972,3.0028110267840784,5731742.107370336,7.305,6.589436359097977,-0.0021354400000000028,3.899636181989841,0.0,8148030.936098305,5505451601.430539,0.0,5731742.107370337,1374532807.8049905,2
2562.9661354911905,72.62895,34.00524002198242,50.62574577713587,124.4,-152.55,-1.016931725794647,2.087314008196639,4652872.428039225,37.531,6.763199953719957,0.003283600000000007,3.6924233120850833,4896.923391809058,95.69269999999999,-54.12576689056755,69.9780207765914,191.76,-110.3,1.858701865539486,3.238018605149266,9790979.063659694,-92.006,6.851147885714816,0.0002767199999999889,3.7242688745420187,0.0,4652872.428039226,1809698842.467222,0.0,9790979.063659694,4584824803.5337105,2
3417.5800919584335,20.494500000000002,-39.54025069560351,58.46007263045808,5.2486,-286.83,-3.1036779300666972,9.421127782376978,6231245.40780404,-29.353,6.473417468821366,0.0016640560000000051,1.760142018050433,3747.1770730064163,49.93599999999999,17.544495130295765,61.214190127832424,275.04,-50.402,2.3107155554479495,5.553876615448019,5072787.964361619,0.75664,6.394375674307654,-0.0006788799999999896,3.258141663290205,0.0,6231245.407804041,2446771743.6678143,3.0,5072787.964361616,597707720.8439467,2
3146.06319625284,80.2483,-65.18231547466027,56.08977800145799,6.5401,-288.34,-1.5914808711212913,4.489389357620898,9250891.60606061,-69.918,6.757604264364824,0.005038319999999976,3.0787187425599756,3550.2186460701614,33.81570000000001,-3.129524898081533,59.58371124787513,255.71,-58.226,2.8768545852275063,8.281256370992224,4453575.727769499,-7.5604,6.392626487721896,0.0038458399999999927,2.8457570143264923,0.0,9250891.606060611,6649273350.982935,1.0,4453575.727769498,479520942.9503465,2
12156.54412770079,177.53325,105.89540502318147,110.25671919525263,214.83,-241.59,-1.3161014889898912,1.1169571666663183,29236346.54683827,159.68,6.839402654680061,0.001994247999999993,6.370939611885367,18849.384806275157,268.01000000000005,-155.7562724860112,137.2930617557754,137.47,-336.45,0.5382624436680837,-1.0260880859323367,53929860.93248966,-198.66,6.825325734653088,-0.0038122399999999516,9.867643523025105,0.0,29236346.54683827,17549665813.69881,0.0,53929860.932489686,37966949955.33916,3
4992.464132888632,96.988,59.027873864908074,70.65737139809711,121.75,-201.68,-1.8776700286038468,3.486441225835632,10604419.28640106,92.246,6.860684532059253,-0.0009531200000000012,3.420429563102901,3050.8880471492366,67.2825,-33.878928306155075,55.234844501901485,175.47,-87.246,2.1068291722661474,4.39868398831365,5252535.957733864,-55.674,6.853273576529238,0.004255999999999983,2.836806158239907,0.0,10604419.286401063,5452917166.852889,0.0,5252535.957733863,1796279638.4484599,3
7622.3335739943095,96.050832,45.464464387689844,87.30597673695833,117.31,-322.48,-2.4540515164297876,6.608841748838103,12121378.221163338,82.489,6.771322823556498,0.00012688000000000556,3.3372246923695013,4939.120909611717,103.70025000000001,-58.26833719680257,70.2788795415217,182.66,-127.04,1.4376860229035688,1.530816670757221,10426234.356644295,-93.451,6.832337502664747,0.0022451680000000122,3.6758749350054885,0.0,12121378.221163338,3234884489.040667,0.0,10426234.356644295,5313490017.498767,3
8258.62434761156,130.3992,76.15525306746603,90.87697369307342,150.05,-236.32,-1.7162816292779557,2.7088624000073027,17586866.893644076,126.35,6.8422220120141,0.008251520000000005,4.737873866871638,6198.341966852422,122.804315,-71.76542119104717,78.72954951511169,174.0,-144.01,1.2797611445143935,0.6714416163053913,14197120.67462161,-120.02,6.873774199619946,-0.0007725599999999986,4.376776407340562,0.0,17586866.893644072,9076415121.3123,0.0,14197120.674621612,8060186587.485626,3
8387.623656971564,140.60458,84.7762798521183,91.5839705241674,149.41,-289.26,-1.9487034040262008,4.117391836168074,19483876.24445284,136.16,6.850656805924201,0.0009504000000000132,4.667930977410031,3625.8630399651606,100.3599,-53.356086770663474,60.21513962422707,172.52,-118.09,1.4884120376655356,2.280155696097836,8097391.529340106,-70.504,6.860896956906883,-0.002987920000000008,3.1930593245410255,0.0,19483876.244452845,11247689771.02635,0.0,8097391.529340107,4455357519.795957,3
7504.872791866191,133.13555,76.75990031095124,86.63066888732992,141.38,-211.98,-1.5482419062453496,1.7962888800559265,16759590.81460432,126.29,6.855775304195255,0.0007680000000000064,4.290643503784742,2637.573444570157,48.3052,-6.4117984422861705,51.35731150060483,178.85,-80.623,1.421890524350835,2.990843572708859,3351034.43939716,0.19203,6.502985215790552,0.0018212639999999852,2.1195409211413816,0.0,16759590.814604316,9221114684.92662,2.0,3351034.4393971604,475897160.5013485,3
8272.150536522375,151.40194,84.8841731518785,90.95136357703701,162.71,-191.27,-1.326863516969903,0.9624606624248844,19362319.20863878,135.87,6.846676513234389,0.0025460000000000036,4.931697578446177,2658.077466855573,49.3277,-15.94289930615508,51.55654630457293,177.45,-84.752,1.8270207339224502,3.6940057976888907,3643229.134932358,-18.263,6.677569151517565,-0.001737599999999992,2.383020066294471,0.0,19362319.208638776,11276337468.19906,1.0,3643229.1349323587,540688525.0950938,3
10606.75583888543,173.70430000000002,104.50222327098322,102.98910543783468,207.75,-237.33,-1.4087982438567328,1.4840057552070922,26930865.604837283,156.85,6.867826683138089,0.0056130400000000465,6.158920467665799,5240.555626153125,108.22500000000001,-62.589278788009594,72.39168202323472,189.15,-118.49,1.700211270191101,2.3188360974602187,11456624.780140746,-99.134,6.874521566051163,0.0007255999999999971,3.776898669063389,0.0,26930865.60483729,17090929377.039906,0.0,11456624.780140746,6130762804.470808,3
10827.120104090573,122.426015,59.97483024180656,104.05344830466011,132.52,-369.76,-2.3314796905857964,5.856983134975177,18044549.55864674,116.3,6.794849629788013,0.007695920000000001,4.560259777212498,4900.12846007325,95.45944999999999,-50.38161777466027,70.00091756593801,196.79,-121.13,1.629713015532321,2.4978202696265006,9305483.272951182,-73.377,6.852302078950022,0.005212639999999988,3.6144346681970543,0.0,18044549.558646735,5629277707.845212,0.0,9305483.272951182,3972453634.318834,3
8514.611737338568,105.182965,48.31418729070343,92.27465381857884,112.34,-332.07,-2.359776311954241,5.984969506831222,13571939.411055576,94.22,6.765069182343506,-0.0005106400000000122,3.4568943558232634,4242.9323127580365,79.923535,-34.465034759232616,65.13779481037132,214.24,-107.37,1.7458799044538496,3.1444166250819814,6793894.438075149,-52.552,6.7883354361506445,0.003288000000000011,2.897672474492877,0.0,13571939.411055574,3653120319.6839223,0.0,6793894.43807515,1858968629.633372,3
3116.083226458908,75.27044999999998,-44.23986723541167,55.82188841716937,202.2,-83.569,2.6461239343756864,8.127081431232174,6346634.598411664,-68.012,6.836199879189403,0.006276160000000005,3.507277956008145,1382.4270228755713,67.32935,-39.076155576338934,37.18100352163146,84.71,-97.383,1.0560053793638602,1.1674156516137701,3639625.5698347706,-48.374,6.849752062617844,-0.0025895199999999706,1.8493682076780587,0.0,6346634.598411666,3062966517.1215754,0.0,3639625.5698347716,2389671914.636007,4
2821.2991511057585,38.472744999999996,-10.401909168185453,53.11590299623794,201.09,-119.33,2.516419955552461,8.05302908822081,3664803.0806766227,-7.5379,6.412811933951585,0.0034022399999999947,2.680862121419246,1889.964607375234,68.34326,-41.493638547242206,43.473723182805884,127.35,-91.979,1.2094250847674524,1.2821193914256614,4518219.995727787,-58.376,6.859452947803418,-0.0008257600000000139,2.7117488900422724,1.0,3664803.080676622,325029102.4606417,0.0,4518219.995727788,2694496714.148613,4
4614.617576314406,98.1187,-61.02046313029576,67.93097655940481,189.02,-174.36,1.7895368900558848,3.3761257410157963,10430981.23568469,-97.061,6.843863673367885,0.0022497600000000034,3.8642813856060663,3498.197122489469,90.06479999999999,-50.34186048944844,59.14555877231586,187.33,-108.43,1.6033253532706038,2.4663776525538363,7546657.550075728,-79.233,6.856635572791851,-0.001301839999999993,3.918687661927784,0.0,10430981.23568469,5827276404.2919235,0.0,7546657.550075729,3966186600.251594,4
3420.0517781117333,78.16640000000001,-46.56866721342926,58.48120876069281,170.52,-160.42,1.8463867643130232,4.015663035229711,6991454.372727715,-73.206,6.8322313503689145,0.004471680000000003,3.4493483213500413,5304.112214700994,125.55058,-70.01857088009592,72.82933622312504,164.48,-138.47,1.1260272404291192,0.37651438240649204,12768597.315972805,-104.83,6.830848732177341,0.0032678576000000023,4.350364354241515,0.0,6991454.372727715,3393924967.4857306,0.0,12768597.315972801,7672574322.162708,4
